pl_name,ra,dec,pl_orbper,pl_rade,pl_tranmid,pl_trandur,sy_vmag
TOI-1753 b,252.4698351,61.1735768,5.38461040000,2.47852533,2458684.50300000,3.1784345,11.8310000
TOI-1756 b,306.3287741,77.6364119,2.78301136608,1.71046027,2458764.85187400,1.7406295,13.8800000
TOI-1756 b,306.3287741,77.6364119,2.78301736297,1.94225664,2458859.47478748,1.8164400,13.8800000
TOI-1758 b,354.7415810,75.6852317,20.70514990000,3.39245000,2460421.69684100,3.3480000,10.7940000
TOI-1758 b,354.7415810,75.6852317,20.70512700000,3.55736840,2458806.69740000,3.6704874,10.7940000
TOI-1758 b,354.7415810,75.6852317,20.70507468500,3.62000000,2459924.77180000,3.6727000,10.7940000
TOI-1759 b,326.8516615,62.7538164,18.84997500000,3.06000000,2458745.46610000,3.7000000,11.9300000
TOI-1759 b,326.8516615,62.7538164,18.85018000000,3.12029598,2458745.46580000,3.5937004,11.9300000
TOI-1759 b,326.8516615,62.7538164,18.85004380000,3.09094000,2460404.26614900,3.4070000,11.9300000
TOI-1759 b,326.8516615,62.7538164,18.85019000000,3.14000000,2458745.46540000,3.2300000,11.9300000
TOI-1768.01,152.1027826,55.5399599,7.33772360000,3.28070000,2460331.44471800,4.2430000,10.4190000
TOI-1768.01,152.1027826,55.5399599,7.33770364900,3.45300000,2459627.02240000,4.5639000,10.4190000
TOI-1772.01,156.8377040,34.3909497,8.05424687400,2.90500000,2459628.85070000,3.4202000,9.9550000
TOI-1772.01,156.8377040,34.3909497,8.05422072638,2.83377057,2459628.84987200,3.0287161,9.9550000
TOI-1774.01,148.1619305,35.1110080,16.70988000000,2.78000000,2459674.41310000,5.4100000,8.2500000
TOI-1774.01,148.1619305,35.1110080,16.71000000000,2.90000000,,,8.2500000
TOI-1774.01,148.1619305,35.1110080,16.71004217491,2.73966157,2458872.34115500,5.4004652,8.2500000
TOI-1775 b,150.1151015,39.4577506,10.24054830000,8.69623000,2459635.36432600,3.5380000,11.6480000
TOI-1775 b,150.1151015,39.4577506,10.24055490000,8.04728896,2458877.56450000,3.6638722,11.6480000
TOI-1776 b,164.7772913,40.9837182,2.80099147080,1.40339155,2458871.48856600,1.4985399,8.2600000
TOI-1776 b,164.7772913,40.9837182,2.79986800000,1.21612741,2458871.49760000,1.9316857,8.2600000
TOI-1777.01,151.8070320,46.1148814,14.65039350000,1.81908000,2459635.11652400,2.0800000,9.3100000
TOI-1777.01,151.8070320,46.1148814,14.65011197400,2.24600000,2459635.10670000,2.6433000,9.3100000
TOI-178 b,7.3020115,-30.4541159,1.91456010000,1.20000000,2458931.17930000,,11.9550000
TOI-178 b,7.3020115,-30.4541159,1.91455800000,1.15200000,2458741.63650000,1.6920000,11.9550000
TOI-178 c,7.3020115,-30.4541159,3.23842531548,1.51483691,2458356.10751200,1.9941055,11.9550000
